PositionRelPAS_kb	Avg_E_bound	Avg_Ser2P
-19.9	0.00406724968551142	0.0141621524164843
-19.8	0.00612989767213279	0.0213442872465849
-19.7	0.00821217012386627	0.0285947544912059
-19.6	0.0103142444407804	0.0359141718608297
-19.5	0.0124362748885662	0.0433030765125405
-19.4	0.014578392916855	0.0507619261583924
-19.3	0.0167407074883325	0.0582911002113678
-19.2	0.0189233054187225	0.0658909009691855
-19.1	0.0211262517276634	0.0735615548360361
-19	0.0233495900004441	0.0813032135821283
-18.9	0.0255933427605171	0.0891159556407602
-18.8	0.0278575118526559	0.0969997874424604
-18.7	0.0301420788365851	0.104954644785583
-18.6	0.0324470053908518	0.112980394242573
-18.5	0.0347722337266829	0.121076834600996
-18.4	0.0371176870115159	0.129243698338256
-18.3	0.0394832698018695	0.137480653128826
-18.2	0.0418688684851661	0.145787303382655
-18.1	0.0442743517301031	0.154163191813346
-18	0.0466995709451292	0.162607801034539
-17.9	0.049144360744554	0.171120555182895
-17.8	0.0516085394217959	0.179700821565918
-17.7	0.0540919094292504	0.188347912332836
-17.6	0.056594257864238	0.197061086166652
-17.5	0.0591153569604703	0.205839549995407
-17.4	0.0616549645844634	0.214682460720671
-17.3	0.0642128247363062	0.223588926961199
-17.2	0.0667886680541873	0.232558010809671
-17.1	0.0693822123220678	0.241588729600385
-17	0.0719931629798852	0.250680057685777
-16.9	0.07462121363567	0.25983092821958
-16.8	0.0772660465789519	0.269040234944489
-16.7	0.0799273332948247	0.278306833982121
-16.6	0.0826047349780693	0.287629545623162
-16.5	0.0852979030466892	0.297007156115486
-16.4	0.0880064796542709	0.306438419448177
-16.3	0.0907300982005563	0.31592205912932
-16.2	0.0934683838396292	0.325456769955491
-16.1	0.0962209539851374	0.335041219770925
-16	0.0989874188119783	0.344674051214368
-15.9	0.101767381753888	0.354353883451665
-15.8	0.104560439996394	0.364079313892212
-15.7	0.107366184964606	0.373848919887427
-15.6	0.110184202805339	0.383661260409483
-15.5	0.113014074863071	0.393514877708591
-15.4	0.115855378149279	0.403408298947205
-15.3	0.118707685804689	0.413340037809573
-15.2	0.121570567554034	0.423308596085181
-15.1	0.124443590152878	0.433312465224612
-15	0.127326317826174	0.443350127866557
-14.9	0.130218312698141	0.453420059334669
-14.8	0.133119135213165	0.463520729103121
-14.7	0.13602834454739	0.473650602229745
-14.6	0.138945499010702	0.483808140755766
-14.5	0.141870156438872	0.493991805071207
-14.4	0.144801874575576	0.504200055245086
-14.3	0.147740211444096	0.514431352319688
-14.2	0.150684725708509	0.524684159568207
-14.1	0.153634977024182	0.534956943715159
-14	0.156590526377418	0.54524817611906
-13.9	0.159550936414162	0.55555633391693
-13.8	0.162515771757608	0.56587990113025
-13.7	0.165484599314686	0.576217369732098
-13.6	0.168456988571307	0.586567240675249
-13.5	0.171432511876396	0.596928024881115
-13.4	0.174410744714615	0.607298244189425
-13.3	0.177391265967853	0.617676432268691
-13.2	0.180373658165439	0.628061135487485
-13.1	0.183357507723161	0.638450913746683
-13	0.186342405171116	0.648844341272854
-12.9	0.189327945370482	0.659240007373055
-12.8	0.192313727719285	0.669636517151317
-12.7	0.195299356347272	0.680032492187207
-12.6	0.198284440300003	0.690426571176836
