PositionRelPAS_kb	Avg_E_bound	Avg_Ser2P
-19.9	0.0044898275704643	0.0143463639311528
-19.8	0.00668677561658544	0.0213662813956507
-19.7	0.00885265104527229	0.0282869127894827
-19.6	0.0109881084436945	0.0351103497011653
-19.5	0.0130937841408361	0.0418386253794525
-19.4	0.0151702968396754	0.0484737167533096
-19.3	0.0172182482232786	0.0550175463685372
-19.2	0.0192382235360547	0.0614719842450284
-19.1	0.0212307921413511	0.0678388496584296
-19	0.023196508056506	0.0741199128497687
-18.9	0.0251359104664133	0.0803168966664277
-18.8	0.0270495242166012	0.0864314781376537
-18.7	0.0289378602867695	0.092465289987635
-18.6	0.030801416245686	0.0984199220890103
-18.5	0.0326406766882904	0.104296922859528
-18.4	0.0344561136558124	0.110097800604435
-18.3	0.036248187039671	0.115824024807038
-18.2	0.0380173449698786	0.121477027369752
-18.1	0.0397640241886399	0.127058203807854
-18	0.0414886504098012	0.13256891439801
-17.9	0.0431916386647683	0.138010485283575
-17.8	0.0448733936354867	0.143384209538553
-17.7	0.0465343099750433	0.148691348192003
-17.6	0.0481747726164241	0.153933131214599
-17.5	0.0497951570699341	0.159110758468968
-17.4	0.051395829709764	0.164225400625343
-17.3	0.0529771480501604	0.169278200044
-17.2	0.0545394610116405	0.174270271625887
-17.1	0.0560831091776628	0.17920270363275
-17	0.0576084250421552	0.184076558478057
-16.9	0.0591157332482756	0.188892873489893
-16.8	0.0606053508187649	0.193652661647008
-16.7	0.0620775873782381	0.198356912289092
-16.6	0.0635327453677386	0.203006591802331
-16.5	0.064971120251868	0.207602644281244
-16.4	0.0663930007187919	0.212145992167757
-16.3	0.0677986688734022	0.216637536868405
-16.2	0.0691884004239114	0.221078159350553
-16.1	0.0705624648621354	0.225468720718446
-16	0.0719211256377122	0.229810062769886
-15.9	0.0732646403264963	0.234103008534294
-15.8	0.0745932607933499	0.238348362792881
-15.7	0.0759072333495527	0.242546912581601
-15.6	0.0772067989050316	0.246699427677577
-15.5	0.0784921931156116	0.250806661069603
-15.4	0.0797636465254749	0.25486934941334
-15.3	0.0810213847050103	0.258888213471783
-15.2	0.0822656283842261	0.262863958541547
-15.1	0.0834965935818899	0.266797274865512
-15	0.0847144917305577	0.270688838032317
-14.9	0.0859195297976413	0.274539309363207
-14.8	0.087111910402661	0.278349336286689
-14.7	0.0882918319308228	0.282119552701435
-14.6	0.0894594886430535	0.285850579327885
-14.5	0.0906150707826228	0.289543024048924
-14.4	0.0917587646784744	0.293197482240058
-14.3	0.0928907528453839	0.296814537089445
-14.2	0.0940112140810577	0.300394759908153
-14.1	0.0951203235602805	0.303938710430985
-14	0.0962182529262151	0.307446937108211
-13.9	0.0973051703789556	0.310919977388516
-13.8	0.0983812407614299	0.314358357993483
-13.7	0.0994466256427417	0.317762595183895
-13.6	0.100501483399043	0.321133195018146
-13.5	0.101545969292022	0.324470653603024
-13.4	0.102580235545083	0.327775457337141
-13.3	0.103604431417308	0.331048083147245
-13.2	0.104618703275262	0.334288998717667
-13.1	0.105623194662723	0.337498662713128
-13	0.106618046368407	0.340677524995134
-12.9	0.107603396491747	0.343826026832167
-12.8	0.108579380506806	0.346944601103887
-12.7	0.10954613132436	0.350033672499533
-12.6	0.110503779352248	0.353093657710726
-12.5	0.111452452554007	0.356124965618846
-12.4	0.112392276505873	0.359127997477165
-12.3	0.113323374452202	0.362103147087915
-12.2	0.114245867359337	0.365050800974435
-12.1	0.115159873968009	0.367971338548578
-12	0.116065510844278	0.370865132273507
-11.9	0.116962892429098	0.373732547822055
-11.8	0.117852131086524	0.376573944230759
-11.7	0.118733337150613	0.379389674049728
-11.6	0.119606618971061	0.382180083488464
-11.5	0.120472082957614	0.384945512557772
-11.4	0.121329833623295	0.387686295207871
-11.3	0.122179973626474	0.390402759462829
-11.2	0.123022603811827	0.393095227551437
-11.1	0.123857823250215	0.395764016034631
-11	0.124685729277512	0.398409435929561
-10.9	0.125506417532421	0.401031792830426
-10.8	0.126319981993305	0.403631387026147
-10.7	0.12712651501406	0.406208513615007
-10.6	0.127926107359062	0.408763462616313
-10.5	0.128718848237222	0.411296519079204
-10.4	0.129504825335162	0.413807963188661
-10.3	0.130284124849547	0.416298070368824
-10.2	0.1310568315186	0.418767111383679
-10.1	0.131823028652817	0.421215352435212
-10	0.132582798164909	0.423643055259076
-9.9	0.133336220598996	0.426050477217878
-9.8	0.134083375159071	0.428437871392126
-9.7	0.134824339736756	0.430805486668918
-9.6	0.135559190938371	0.43315356782844
-9.5	0.136288004111339	0.435482355628326
